subid,proba,pred
20191017-ST001-MNBCP764612-v03-1-28mo_MR-SE003-T1w,0.45,0.0
BCP-439967-42mo-v1_15_T1w,0.95,1.0
20170320-ST001-Elison_BSLERP_505926_06_01_MR-SE003-T1w,0.57,1.0
MNBCP987008-v01-1-5mo-20150310_12_T1w,0.44,0.0
794626-BSLERP-20160329_3_T1w,0.95,1.0
20160512-ST001-Elison_BSLERP_927564_03_02_MR-SE002-T1w,0.47,0.0
MNBCP939785-v06-1-24mo-20181105_19_T1w,0.46,0.0
20180515-ST001-MNBCP629130-2-2-14mo_MR-SE002-T1w,0.46,0.0
20180921-ST001-MNBCP116056-v05-1-24mo_MR-SE002-T1w,0.51,1.0
NCBCP657965-v02-1-13mo-20190108_2_T1w,0.52,1.0
NCBCP470794-v01-1-42mo_17_T1w,0.99,1.0
20180417-ST001-MNBCP676274-v02-1-25mo_MR-SE013-T1w,0.45,0.0
20170430-ST001-Elison_BSLERP_816406_01_01_MR-SE003-T1w,0.37,0.0
222881-BSLERP-20150618_2_T1w_Defaced,0.54,1.0
20170203-ST001-Elison_BSLERP_621289_05_02_MR-SE003-T1w,0.44,0.0
NCBCP774387-v01-1-16mo_2_T1w,0.4,0.0
20190828-ST002-MNBCP568614-v01-1-37mo_MR-SE004-T1w,0.96,1.0
NCBCP664313-v01-1-2mo_3_T1w,0.85,1.0
20180313-ST001-MNBCP684448-v03-1-8mo_MR-SE003-T1w,0.45,0.0
20151022-ST001-Elison_BSLERP_320544_01_01_MR-SE002-T1w_Defaced,0.52,1.0
NCBCP911829-v03-1-8mo_2_T1w,0.93,1.0
20180726-ST001-MNBCP185373-v01-2-20mo_MR-SE002-T1w,0.47,0.0
BCP-388560-2wk-v1_2_T1w_Defaced,0.7,1.0
BCP-107008-6mo-vDTI_3_T1w,0.48,0.0
20191027-ST001-MNBCP176851-v04-1-44mo_MR-SE003-T1w,0.53,1.0
20160303-ST002-ELISON_BSLERP_761247_01_01_MR-SE006-T1w_Defaced,0.76,1.0
20170126-ST003-Elison_BSLERP_243511_06_02_MR-SE002-T1w,0.46,0.0
20160510-ST002-Elison_BSLERP_277762_04_01_MR-SE003-T1w,0.46,0.0
20180507-ST001-MNBCP908191-v02-1-22mo_MR-SE002-T1w,0.46,0.0
794626-BSLERP-20160106_6_T1w,0.55,1.0
NCBCP382287-v03-1-6mo_3_T1w,0.49,0.0
NCBCP730727-v01-1-56mo_13_T1w,0.5,0.0
MNBCP569511-v01-1-15mo-20181130_3_T1w,0.4,0.0
20170719-ST001-Elison_BSLERP_939785_03_01_MR-SE002-T1w,0.46,0.0
20170311-ST001-Elison_BSLERP_755330_04_01_MR-SE013-T1w,0.59,1.0
NCBCP627915-v01-1-15mo_3_T1w,0.53,1.0
NCBCP774004-v03-1-36mo-20180925_2_T1w,0.96,1.0
NCBCP418793-v06-1-26mo_3_T1w,0.47,0.0
20160328-ST002-Elison_BSLERP_505499_03_01_MR-SE009-T1w_Defaced,0.86,1.0
20170731-ST001-Elison_BSLERP_940808_03_01_MR-SE002-T1w,0.89,1.0
859613-BSLERP-20170119_8_T1w_Defaced,0.47,0.0
20170518-ST001-Elison_BSLERP_470431_03_01_MR-SE003-T1w,0.45,0.0
NCBCP758603-v08-2-37mo_6_T1w,0.93,1.0
20180724-ST001-MNBCP477045-v03-1-16mo_MR-SE003-T1w,0.49,0.0
20170602-ST001-Elison_BSLERP_284149_01_01_MR-SE002-T1w,0.51,1.0
NCBCP011228-v01-1-9mo_16_T1w,0.49,0.0
20180531-ST001-MNBCP470431-v06-1-24mo_MR-SE002-T1w,0.44,0.0
20170419-ST001-Elison_BSLERP_200919_01_02_MR-SE003-T1w_Defaced,0.4,0.0
NCBCP576112-v04-1-42mo_9_T1w,0.95,1.0
20150708-ST001-Elison_BSLERP_890518_02_01_MR-SE003-T1w,0.45,0.0
20160620-ST001-Elison_BSLERP_786266_02_01_MR-SE002-T1w_Defaced,0.46,0.0
20190105-ST001-MNBCP318409-v02-2-9mo_MR-SE003-T1w,0.38,0.0
BCP-862498-42mo-v1_32_T1w,0.52,1.0
BCP-388560-2mo-v1_4_T1w_Defaced,0.43,0.0
BCP-197622-2wk-v1_6_T1w_Defaced,0.8,1.0
20190429-ST001-MNBCP710741-v01-1-10mo_MR-SE003-T1w,0.41,0.0
NCBCP111521-v03-1-29mo_3_T1w,0.47,0.0
NCBCP509669-v01-1-42mo_9_T1w,0.64,1.0
20170126-ST003-Elison_BSLERP_243511_06_02_MR-SE003-T1w,0.44,0.0
20170610-ST001-Elison_BSLERP_176427_04_02_MR-SE003-T1w_Defaced,0.49,0.0
20161121-ST001-Elison_BSLERP_932286_04_02_MR-SE008-T1w,0.89,1.0
BSLERP_986114-20150413_4_T1w_Defaced,0.39,0.0
20180318-ST001-MNBCP722612-v01-1-18mo_MR-SE003-T1w,0.45,0.0
NCBCP627915-v01-1-15mo_2_T1w,0.44,0.0
MNBCP469900-v02-1-8mo-20170712_3_T1w,0.72,1.0
20180401-ST001-MNBCP981664-v03-1-8mo_MR-SE003-T1w,0.44,0.0
20151019-ST001-_Elison_BSLERP_138813_03_01_MR-SE005-T1w,0.5,0.0
MNBCP939785-v06-1-24mo-20181105_2_T1w,0.53,1.0
20180727-ST001-MNBCP198549-v05-1-13mo_MR-SE002-T1w,0.44,0.0
BCP-397725-60mo-v1_18_T1w,0.48,0.0
BCP-683402-10mo-v1_3_T1w,0.47,0.0
NCBCP304436-v01-1-55mo-20181130_10_T1w,0.52,1.0
NCBCP730727-v01-1-56mo_8_T1w,0.47,0.0
NCBCP512716-v01-1-16mo_3_T1w,0.38,0.0
BSLERP_243511-20150415_3_T1w,0.69,1.0
20170215-ST001-Elison_BSLERP_406768_01_01_MR-SE002-T1w,0.58,1.0
20180408-ST001-MNBCP552990-v04-1-12mo_MR-SE002-T1w,0.45,0.0
BCP-355327-67mo-v1_24_T1w,0.98,1.0
NCBCP382287-v02-1-4mo-20171011_3_T1w,0.39,0.0
20161107-ST001-Elison_BSLERP_932286_04_01_MR-SE002-T1w,0.48,0.0
20170613-ST001-Elison_BSLERP_116056_03_01_MR-SE003-T1w,0.41,0.0
BCP-530066-13mo-v2_2_T1w,0.39,0.0
BCP-650295-67mo-v1_15_T1w,0.9,1.0
20160126-ST001-Elison_BSLERP_455675_04_04.2_MR-SE007-T1w,0.43,0.0
BCP-404835-52mo-v1_8_T1w,0.49,0.0
NCBCP950202-v01-1-2mo_2_T1w,0.44,0.0
20200220-ST001-MNBCP657158-v05-1-13mo_MR-SE003-T1w,0.46,0.0
20160328-ST002-Elison_BSLERP_505499_03_01_MR-SE003-T1w,0.94,1.0
20160126-ST001-Elison_BSLERP_455675_04_04.2_MR-SE003-T1w,0.42,0.0
987008-BSLERP-20160914_2_T1w,0.5,0.0
NCBCP223244-v02-2-6mo_2_T1w,0.43,0.0
BCP-397725-60mo-v1_19_T1w,0.5,0.0
NCBCP062519-v04-2-10mo_2_T1w,0.42,0.0
20180601-ST001-MNBCP469822-v01-2-21mo_MR-SE003-T1w,0.39,0.0
20170123-ST001-Elison_BSLERP_960370_04_02_MR-SE003-T1w_Defaced,0.43,0.0
NCBCP146505-v04-1-33mo_6_T1w,0.51,1.0
NCBCP945369-v01-1-2wk_2_T1w,0.64,1.0
BCP-862498-42mo-v1_14_T1w,0.5,0.0
20190910-ST001-MNBCP839327-v02-1-12mo_MR-SE002-T1w,0.47,0.0
BCP-406663-18mo-v1-retry_3_T1w,0.45,0.0
NCBCP132476-v03-1-12mo_3_T1w,0.47,0.0
NCBCP385434-v05-1-23mo_3_T1w,0.45,0.0
BCP-157075-17mo-v1_3_T1w,0.44,0.0
20170920-ST001-MNBCP761141-v01-1-1mo_MR-SE002-T1w,0.37,0.0
BCP354307-2wk-v1_3_T1w,0.7,1.0
BCP-683402-10mo-v1_2_T1w,0.41,0.0
20170406-ST001-Elison_BSLERP_838827_02_01_MR-SE003-T1w,0.39,0.0
NCBCP791621-v01-3-56mo_3_T1w,0.36,0.0
MR-SE002-rfMRI_REST_PA_SBRef_rfMRI_REST_PA_20170608213042_2,0.28,0.0
20180910-ST001-MNBCP684448-v05-1-14mo_MR-SE003-T1w,0.49,0.0
20170930-ST001-MNBCP198549-v02-1-4mo_MR-SE003-T1w,0.4,0.0
20160331-ST001-ELISON_BSLERP_116845_3_1_MR-SE003-T1w,0.36,0.0
20190221-ST001-MNBCP000178-v01-2-15mo_MR-SE002-T1w,0.5,0.0
BCP-137012-10mo-v1_7_T1w,0.42,0.0
NCBCP200474-v06-1-24mo_7_T1w,0.46,0.0
NCBCP505525-v06-1-17mo_4_T1w,0.49,0.0
NCBCP960758-v06-1-17mo_2_T1w,0.43,0.0
20191029-ST001-MNBCP439584-v04-1-36mo_MR-SE002-T1w,0.45,0.0
MNBCP938316-v04-1-11mo-20181117_12_T1w,0.35,0.0
20191215-ST001-MNBCP635063-v01-2-11mo_MR-SE003-T1w,0.42,0.0
NCBCP011228-v06-1-24mo_7_T1w,0.39,0.0
NCBCP418793-v06-1-26mo_2_T1w,0.47,0.0
BCP-747701-48mo-v1_2_T1w,0.61,1.0
BSLERP_850013-20150811_3_T1w,0.59,1.0
20180811-ST001-MNBCP938316-v03-1-8mo_MR-SE006-T1w,0.47,0.0
BSLERP_810675-20150812_6_T1w,0.52,1.0
NCBCP354404-v01-2-10mo_3_T1w,0.51,1.0
NCBCP395568-v03-1-15mo_2_T1w,0.45,0.0
NCBCP051407-v01-1-9mo_2_T1w,0.42,0.0
20171115-ST001-MNBCP583494-v01-1-20mo_MR-SE002-T1w,0.45,0.0
20170720-ST001-BCP993015_01_01_MR-SE002-T1w,0.47,0.0
20190725-ST001-MNBCP236452-v02-1-12mo_MR-SE003-T1w,0.38,0.0
MNBCP198202-v02-1-8mo-20170817_3_T1w,0.52,1.0
20180709-ST001-MNBCP865762-v01-2-20mo_MR-SE003-T1w,0.44,0.0
20190911-ST001-MNBCP985303-v03-1-27mo_MR-SE012-T1w,0.44,0.0
BSLERP_888211-20150504_2_T1w_Defaced,0.47,0.0
20170106-ST001-Elison_BSLERP_125632_04_01_MR-SE002-T1w,0.42,0.0
BCP-417855-15mo-v1_6_T1w,0.41,0.0
20161107-ST001-Elison_BSLERP_932286_04_01_MR-SE010-T1w,0.99,1.0
20180406-ST001-MNBCP176427-v06-1-24mo_MR-SE002-T1w,0.45,0.0
BSLERP_223008-20150428_2_T1w,0.48,0.0
794032-BSLERP-20160406_2_T1w,0.47,0.0
20161220-ST001-Elison_BSLERP_116056_01_01_MR-SE003-T1w,0.69,1.0
20160510-ST002-Elison_BSLERP_277762_04_01_MR-SE002-T1w,0.47,0.0
514306-BSLERP-20160113_3_T1w,0.57,1.0
NCBCP157075-v02-1-26mo_2_T1w,0.45,0.0
NCBCP575848-v01-1-37mo-20171011_15_T1w,0.94,1.0
20170414-ST001-Elison_BSLERP_295081_01_01_MR-SE027-T1w_Defaced,0.55,1.0
20170625-ST001-BCP981854_01_01_MR-SE003-T1w,0.45,0.0
BCP-388560-2mo-v1_10_T1w,0.41,0.0
20180412-ST001-MNBCP947206-v01-1-9mo_MR-SE003-T1w,0.39,0.0
20181016-ST001-MNBCP629130-v04-1-20mo_MR-SE002-T1w,0.5,0.0
20200105-ST001-MNBCP839327-v03-1-15mo_MR-SE002-T1w,0.42,0.0
NCBCP788132-v02-1-5mo_2_T1w,0.72,1.0
20180911-ST001-MNBCP439037-v01-1-15mo_MR-SE002-T1w,0.43,0.0
NCBCP157075-v03-1-31mo_2_T1w,0.42,0.0
20180429-ST002-MNBCP601017-v02-1-26mo_MR-SE009-T1w,0.45,0.0
BCP-189896-14mo-v2_2_T1w,0.48,0.0
20180304-ST001-MNBCP981854-v04-1-10mo_MR-SE002-T1w,0.45,0.0
NCBCP945369-v03-1-6mo_3_T1w,0.39,0.0
NCBCP145776-v01-1-42mo_10_T1w,0.99,1.0
NCBCP537715-v01-1-49mo-20170215_8_T1w,0.51,1.0
BSLERP_597306-20160803_3_T1w,0.36,0.0
20160519-ST001-Elison_BSLERP_716498_06_01_MR-SE006-T1w,0.49,0.0
20150723-ST001-Elison_BSLERP_262208_01_01_MR-SE003-T1w_Defaced,0.87,1.0
MNBCP544404-v03-1-12mo-20170818_6_T1w,0.42,0.0
NCBCP683402-v05-1-22mo_2_T1w,0.4,0.0
20180715-ST001-MNBCP706655-v02-1-12mo_MR-SE003-T1w,0.52,1.0
20180528-ST001-MNBCP637299-v02-1-14mo_MR-SE002-T1w,0.36,0.0
NCBCP040221-v02-1-55mo_13_T1w,0.52,1.0
20170217-ST002-Elison_BSLERP_752770_01_01_MR-SE003-T1w,0.57,1.0
20180530-ST001-MNBCP583494-v02-1-26mo_MR-SE002-T1w,0.48,0.0
20180123-ST001-MNBCP372377-v01-1-2mo_MR-SE005-T1w,0.63,1.0
20170720-ST001-BCP993015_01_01_MR-SE003-T1w,0.36,0.0
20170414-ST001-Elison_BSLERP_295081_01_01_MR-SE003-T1w_Defaced,0.38,0.0
20171115-ST001-MNBCP583494-v01-1-20mo_MR-SE003-T1w,0.39,0.0
NCBCP189896-v06-1-26mo_2_T1w,0.44,0.0
NCBCP730727-v01-1-56mo_12_T1w,0.44,0.0
NCBCP397725-v02-1-72mo_8_T1w,0.87,1.0
20180916-ST001-MNBCP943541-v01-1-1mo_MR-SE002-T1w,0.5,0.0
20170322-ST001-Elison_BSLERP_801091_04_01_MR-SE003-T1w,0.38,0.0
BSLERP_231205-20161209_2_T1w,0.56,1.0
20171024-ST001-MNBCP908191-v01-2-16mo_MR-SE002-T1w,0.53,1.0
20171203-ST001-MNBCP105040-v04-1-15mo_MR-SE002-T1w,0.73,1.0
NCBCP564264-v01-1-20mo_3_T1w,0.39,0.0
20190118-ST001-MNBCP706050-v02-2-26mo_MR-SE010-T1w,0.43,0.0
20170117-ST001-Elison_BSLERP_683099_01_01_MR-SE014-T1w_Defaced,0.46,0.0
20180228-ST001-MNBCP199865-v02-1-12mo_MR-SE002-T1w,0.48,0.0
20170305-ST001-Elison_BSLERP_794626_06_01_MR-SE003-T1w,0.48,0.0
NCBCP758603-v03-1-16mo_3_T1w,0.5,0.0
20180424-ST001-MNBCP617942-v01-1-19mo_MR-SE003-T1w,0.49,0.0
20160105-ST001-Elison_BSLERP_116845_02_01_MR-SE002-T1w,0.51,1.0
20150106-ST001-Elison_BSLERP_387247_1_1_MR-SE003-T1w,0.48,0.0
NCBCP106436-v04-1-10mo_3_T1w,0.52,1.0
20161114-ST001-Elison_BSLERP_621289_01_01_MR-SE002-T1w,0.4,0.0
20170310-ST001-Elison_BSLERP_883901_02_01_MR-SE003-T1w,0.39,0.0
NCBCP525955-v04-1-18mo_3_T1w,0.42,0.0
20151112-ST001-Elison_BSLERP_229768_02_01_MR-SE003-T1w_Defaced,0.58,1.0
BSLERP_801091-20160913_3_T1w_Defaced,0.4,0.0
20190624-ST001-MNBCP657158-v03-1-7mo_MR-SE003-T1w,0.4,0.0
BCP-986700-44mo-v1-retry_8_T1w,0.94,1.0
NCBCP052977-v03-2-17mo_3_T1w,0.44,0.0
NCBCP788132-v01-1-2mo_6_T1w,0.79,1.0
20170913-ST001-MNBCP266437-v01-1-18mo_MR-SE002-T1w,0.47,0.0
20171130-ST001-MNBCP981854-v03-1-7mo_MR-SE003-T1w,0.39,0.0
BSLERP_223008-20160922_2_T1w,0.46,0.0
MNBCP557806-v04-1-15mo-20170705_2_T1w,0.42,0.0
20150910-ST001-Elison_BSLERP_987008_03_02_MR-SE002-T1w,0.49,0.0
20170628-ST001-Elison_BSLERP_883901_03_2_MR-SE003-T1w,0.47,0.0
20170826-ST001-MNBCP282791-v01-2-19mo_MR-SE003-T1w,0.46,0.0
20170529-ST001-Elison_BSLERP_105040_02_01_MR-SE003-T1w_Defaced,0.45,0.0
MNBCP402408-v03-1-7mo-20190806_3_T1w,0.44,0.0
NCBCP530066-v04-1-19mo_2_T1w,0.48,0.0
20160408-ST001-Elison_BSLERP_222881_4_1_MR-SE003-T1w,0.37,0.0
20191007-ST001-MNBCP210587-v05-2-34mo_MR-SE003-T1w,0.48,0.0
20190911-ST001-MNBCP985303-v03-1-27mo_MR-SE003-T1w,0.45,0.0
20160430-ST001-Elison_BSLERP_786266_04_01_MR-SE010-T1w,0.6,1.0
20190514-ST001-MNBCP583494-v03-1-38mo_MR-SE002-T1w,0.49,0.0
20180228-ST001-MNBCP199865-v02-1-12mo_MR-SE003-T1w,0.4,0.0
20160922-ST001-Elison_BSLERP_786266_03_01_MR-SE002-T1w,0.45,0.0
20160519-ST001-Elison_BSLERP_716498_06_01_MR-SE003-T1w_Defaced,0.51,1.0
NCBCP518139-v06-1-24mo-20180906_2_T1w,0.46,0.0
20200110-ST001-MNBCP102606-v03-1-16mo_MR-SE002-T1w,0.92,1.0
20161107-ST001-Elison_BSLERP_932286_04_01_MR-SE003-T1w,0.58,1.0
20191015-ST001-MNBCP458050-v05-1-19mo_MR-SE003-T1w,0.49,0.0
BSLERP_277066-20170110_3_T1w_Defaced,0.46,0.0
20170928-ST001-MNBCP234130-v01-1-19mo_MR-SE002-T1w,0.39,0.0
MNBCP943541-v01-1-4mo-20181202_2_T1w,0.45,0.0
20170414-ST001-Elison_BSLERP_295081_01_01_MR-SE003-T1w,0.37,0.0
NCBCP197622-v07-1-18mo_3_T1w,0.48,0.0
NCBCP382287-v02-1-4mo-20171011_2_T1w,0.33,0.0
20161220-ST001-Elison_BSLERP_116056_01_01_MR-SE002-T1w,0.58,1.0
NCBCP960758-v01-1-2mo_2_T1w,0.39,0.0
MNBCP544404-v03-1-12mo-20170818_7_T1w,0.44,0.0
20180701-ST001-MNBCP375518-v01-1-1mo_MR-SE003-T1w,0.57,1.0
20150519-ST001-Elison_BSLERP_716498_3_1_MR-SE002-T1w_Defaced,0.43,0.0
NCBCP931085-v01-1-9mo_3_T1w,0.41,0.0
20170109-ST001-Elison_BSLERP_838827_01_01_MR-SE003-T1w_Defaced,0.49,0.0
BSLERP_243511-20151217_2_T1w,0.48,0.0
20170717-ST001-BCP381606_01_01_MR-SE002-T1w,0.43,0.0
20180730-ST001-MNBCP884382-v01-2-3mo_MR-SE002-T1w,0.65,1.0
BSLERP_277762-20170207_7_T1w,0.46,0.0
NCBCP868724-v09-1-32mo_3_T1w,0.46,0.0
BSLERP_229768-20150730_3_T1w,0.48,0.0
20190105-ST001-MNBCP318409-v02-2-9mo_MR-SE002-T1w,0.39,0.0
20170310-ST001-Elison_BSLERP_883901_02_01_MR-SE002-T1w,0.46,0.0
BCP-675674-11mo-v1_3_T1w,0.59,1.0
BCP-417855-15mo-v1_7_T1w,0.41,0.0
NCBCP011228-v01-1-9mo_15_T1w,0.53,1.0
NCBCP512716-v01-1-16mo_2_T1w,0.45,0.0
20181024-ST001-MNBCP477045-v04-1-19mo_MR-SE003-T1w,0.62,1.0
20180205-ST001-MNBCP629130-v01-1-11mo_MR-SE003-T1w,0.41,0.0
MNBCP940808-v03-1-9mo-20170731_5_T1w,0.45,0.0
20150430-ST001-Elison_BSLERP_334324_01_01_MR-SE002-T1w_Defaced,0.48,0.0
BSLERP_334324-20150817_14_T1w,0.44,0.0
20150914-ST001-Elison_BSLERP_951984_05_03_MR-SE016-T1w,0.37,0.0
20180309-ST001-MNBCP661045-v02-1-24mo_MR-SE019-T1w,0.46,0.0
BSLERP_334324-20150817_6_T1w,0.72,1.0
20161121-ST001-Elison_BSLERP_932286_04_02_MR-SE008-T1w_Defaced,0.88,1.0
20180620-ST001-MNBCP710922-v01-2-1mo_MR-SE002-T1w,0.66,1.0
MNBCP469822-v02-2-25mo-20181111_2_T1w,0.43,0.0
NCBCP157075-v02-1-26mo_3_T1w,0.45,0.0
NCBCP089476-v01-1-18mo_3_T1w,0.46,0.0
20180417-ST001-MNBCP676274-v02-1-25mo_MR-SE003-T1w,0.44,0.0
20170302-ST002-Elison_BSLERP_879509_03_01_MR-SE002-T1w,0.5,0.0
NCBCP779604-v05-1-12mo_7_T1w,0.49,0.0
20190508-ST001-MNBCP908191-v04-2-34mo_MR-SE002-T1w,0.42,0.0
BCP-525955-9mo-v1_3_T1w,0.44,0.0
BCP-106436-2wk-v1_3_T1w,0.48,0.0
20160328-ST002-Elison_BSLERP_505499_03_01_MR-SE014-T1w_Defaced,0.94,1.0
NCBCP111521-v04-1-35mo_3_T1w,0.7,1.0
BCP-106436-2wk-v1_3_T1w_Defaced,0.47,0.0
20170117-ST001-Elison_BSLERP_683099_01_01_MR-SE006-T1w_Defaced,0.72,1.0
NCBCP106436-v04-1-10mo_2_T1w,0.41,0.0
BCP-650295-67mo-v1_19_T1w,0.82,1.0
NCBCP051407-v02-1-12mo_2_T1w,0.54,1.0
20160818-ST001-Elison_BSLERP_951984_05_01_MR-SE002-T1w,0.46,0.0
NCBCP911829-v03-2-8mo_2_T1w,0.37,0.0
MNBCP469090-v04-1-18mo-20181110_3_T1w,0.39,0.0
BSLERP_277762-20170207_3_T1w,0.49,0.0
BSLERP_425428-20150609_3_T1w_Defaced,0.44,0.0
20180624-ST001-MNBCP981854-v05-2-14mo_MR-SE002-T1w,0.41,0.0
BSLERP_960370-20160629_3_T1w,0.48,0.0
20190724-ST001-MNBCP936900-v01-1-10mo_MR-SE002-T1w,0.45,0.0
20200119-ST001-MNBCP236452-v04-1-18mo_MR-SE003-T1w,0.46,0.0
20170406-ST001-Elison_BSLERP_838827_02_01_MR-SE002-T1w,0.52,1.0
20170109-ST001-Elison_BSLERP_838827_01_01_MR-SE003-T1w,0.51,1.0
20160811-ST001-Elison_BSLERP_176427_01_01_MR-SE004-T1w,0.5,0.0
859613-BSLERP-20170119_2_T1w,0.49,0.0
20180709-ST001-MNBCP865762-v01-2-20mo_MR-SE002-T1w,0.44,0.0
20180623-ST001-MNBCP866461-v01-1-18mo_MR-SE004-T1w,0.4,0.0
NCBCP397725-v02-1-72mo_9_T1w,0.84,1.0
20171227-ST001-MNBCP552990-v03-1-8mo_MR-SE003-T1w,0.55,1.0
20170206-ST001-Elison_BSLERP_940808_01_01_MR-SE002-T1w,0.45,0.0
20171010-ST001-MNBCP601017-v01-1-19mo_MR-SE003-T1w,0.42,0.0
BCP-132476-6mo-v1_3_T1w,0.46,0.0
222881-BSLERP-20150618_3_T1w,0.5,0.0
20171228-ST001-MNBCP684448-v02-1-5mo_MR-SE003-T1w,0.39,0.0
20180716-ST003-MNBCP635515-v01-1-1mo_MR-SE002-T1w,0.55,1.0
20170125-ST001-Elison_BSLERP_597306_03_01_MR-SE002-T1w,0.44,0.0
20180318-ST001-MNBCP722612-v01-1-18mo_MR-SE002-T1w,0.54,1.0
BCP-804018-60mo-v1_19_T1w,0.64,1.0
MNBCP470431-v04-1-15mo-20170727_2_T1w,0.46,0.0
20160328-ST002-Elison_BSLERP_505499_03_01_MR-SE002-T1w,0.96,1.0
NCBCP131198-v01-1-53mo_12_T1w,0.91,1.0
20170311-ST001-Elison_BSLERP_755330_04_01_MR-SE012-T1w_Defaced,0.49,0.0
NCBCP911829-v03-2-8mo_3_T1w,0.38,0.0
MNBCP726893-v03-1-8mo_MR-SE003-T1w,0.45,0.0
NCBCP197622-v02-1-3mo_2_T1w,0.82,1.0
20170725-ST001-BCP726893_01_01_MR-SE002-T1w,0.41,0.0
20170714-ST001-BCP198549_01_01_MR-SE003-T1w,0.42,0.0
MNBCP621289-v04-1-15mo-20170804_3_T1w,0.45,0.0
NCBCP537715-v02-1-61mo_9_T1w,0.8,1.0
20190712-ST001-MNBCP706655-v06-1-24mo_MR-SE007-T1w,0.49,0.0
20151019-ST001-_Elison_BSLERP_138813_03_01_MR-SE003-T1w,0.52,1.0
20180813-ST001-MNBCP240615-v01-1-16mo_MR-SE003-T1w,0.44,0.0
20150430-ST001-Elison_BSLERP_334324_01_01_MR-SE003-T1w_Defaced,0.45,0.0
20180324-ST001-MNBCP706655-v01-1-9mo_MR-SE003-T1w,0.79,1.0
BCP-397725-60mo-v1_12_T1w,0.62,1.0
NCBCP931085-v01-1-9mo_2_T1w,0.43,0.0
20150422-ST001-Elison_BSLERP_810675_1_1_MR-SE003-T1w,0.55,1.0
BSLERP_794032-20160926_2_T1w,0.5,0.0
BCP-107008-6mo-v1_3_T1w,0.62,1.0
932286-BSLERP-20160226_2_T1w,0.56,1.0
BSLERP_794032-20160926_3_T1w_Defaced,0.46,0.0
NCBCP838881-v01-1-48mo_8_T1w,0.96,1.0
20180407-ST001-MNBCP204659-v02-1-13mo_MR-SE003-T1w,0.41,0.0
NCBCP404835-v02-2-65mo_16_T1w,0.96,1.0
20170120-ST001-Elison_BSLERP_787525_01_01_MR-SE004-T1w,0.56,1.0
20170217-ST002-Elison_BSLERP_752770_01_01_MR-SE002-T1w_Defaced,0.57,1.0
20200110-ST001-MNBCP102606-v03-1-16mo_MR-SE003-T1w,0.91,1.0
